"ID","SiteID","ObservationTimeUTC","Value","Month","Year","SiteName"
682466,"36005NY11534","1/19/2025 5:00:00 AM",15.65,"Jan","2025","Mott Haven"
682467,"36061NY08653","1/19/2025 5:00:00 AM",13.5,"Jan","2025","FDR"
682486,"36005NY12387","1/19/2025 6:00:00 AM",18.18,"Jan","2025","Cross Bronx Expy"
682487,"36061NY08454","1/19/2025 6:00:00 AM",15.51,"Jan","2025","Manhattan Bridge"
682488,"36061NY09734","1/19/2025 6:00:00 AM",12.45,"Jan","2025","Broadway/35th St"
682489,"36005NY11534","1/19/2025 6:00:00 AM",15.36,"Jan","2025","Mott Haven"
682490,"36061NY08653","1/19/2025 6:00:00 AM",13.28,"Jan","2025","FDR"
682508,"36005NY12387","1/19/2025 7:00:00 AM",16.73,"Jan","2025","Cross Bronx Expy"
682509,"36061NY08454","1/19/2025 7:00:00 AM",15.21,"Jan","2025","Manhattan Bridge"
682510,"36061NY09734","1/19/2025 7:00:00 AM",12.09,"Jan","2025","Broadway/35th St"
682511,"36005NY11534","1/19/2025 7:00:00 AM",14.68,"Jan","2025","Mott Haven"
682512,"36061NY08653","1/19/2025 7:00:00 AM",12.6,"Jan","2025","FDR"
682532,"36005NY12387","1/19/2025 8:00:00 AM",14.16,"Jan","2025","Cross Bronx Expy"
682533,"36061NY08454","1/19/2025 8:00:00 AM",13.86,"Jan","2025","Manhattan Bridge"
682535,"36005NY11534","1/19/2025 8:00:00 AM",12.12,"Jan","2025","Mott Haven"
682555,"36005NY12387","1/19/2025 9:00:00 AM",13.55,"Jan","2025","Cross Bronx Expy"
682556,"36061NY08454","1/19/2025 9:00:00 AM",12.92,"Jan","2025","Manhattan Bridge"
682578,"36005NY12387","1/19/2025 10:00:00 AM",12.39,"Jan","2025","Cross Bronx Expy"
682601,"36005NY12387","1/19/2025 11:00:00 AM",13.54,"Jan","2025","Cross Bronx Expy"
684699,"36005NY12387","1/23/2025 10:00:00 AM",12.94,"Jan","2025","Cross Bronx Expy"
684700,"36061NY08454","1/23/2025 10:00:00 AM",12.14,"Jan","2025","Manhattan Bridge"
684721,"36005NY12387","1/23/2025 11:00:00 AM",12.96,"Jan","2025","Cross Bronx Expy"
684722,"36061NY08454","1/23/2025 11:00:00 AM",12.16,"Jan","2025","Manhattan Bridge"
684743,"36005NY12387","1/23/2025 12:00:00 PM",12.85,"Jan","2025","Cross Bronx Expy"
684744,"36061NY08454","1/23/2025 12:00:00 PM",12.49,"Jan","2025","Manhattan Bridge"
684765,"36005NY12387","1/23/2025 1:00:00 PM",16.33,"Jan","2025","Cross Bronx Expy"
684766,"36061NY08454","1/23/2025 1:00:00 PM",12.23,"Jan","2025","Manhattan Bridge"
684768,"36005NY11534","1/23/2025 1:00:00 PM",12.06,"Jan","2025","Mott Haven"
